id,label
TEST_000,훼손
TEST_001,오염
TEST_002,훼손
TEST_003,몰딩수정
TEST_004,오염
TEST_005,걸레받이수정
TEST_006,오염
TEST_007,오염
TEST_008,오염
TEST_009,훼손
TEST_010,몰딩수정
TEST_011,훼손
TEST_012,오염
TEST_013,오염
TEST_014,걸레받이수정
TEST_015,오염
TEST_016,피스
TEST_017,곰팡이
TEST_018,오염
TEST_019,오염
TEST_020,들뜸
TEST_021,훼손
TEST_022,오염
TEST_023,곰팡이
TEST_024,"창틀,문틀수정"
TEST_025,훼손
TEST_026,곰팡이
TEST_027,들뜸
TEST_028,걸레받이수정
TEST_029,훼손
TEST_030,오염
TEST_031,오염
TEST_032,훼손
TEST_033,오염
TEST_034,곰팡이
TEST_035,오염
TEST_036,훼손
TEST_037,훼손
TEST_038,훼손
TEST_039,훼손
TEST_040,훼손
TEST_041,들뜸
TEST_042,걸레받이수정
TEST_043,오염
TEST_044,훼손
TEST_045,훼손
TEST_046,"창틀,문틀수정"
TEST_047,훼손
TEST_048,훼손
TEST_049,오염
TEST_050,훼손
TEST_051,오염
TEST_052,훼손
TEST_053,곰팡이
TEST_054,훼손
TEST_055,오염
TEST_056,훼손
TEST_057,곰팡이
TEST_058,오염
TEST_059,오염
TEST_060,오타공
TEST_061,몰딩수정
TEST_062,훼손
TEST_063,오염
TEST_064,몰딩수정
TEST_065,꼬임
TEST_066,오염
TEST_067,오염
TEST_068,훼손
TEST_069,곰팡이
TEST_070,오염
TEST_071,오염
TEST_072,오염
TEST_073,오염
TEST_074,오염
TEST_075,훼손
TEST_076,오염
TEST_077,오염
TEST_078,오염
TEST_079,오염
TEST_080,훼손
TEST_081,곰팡이
TEST_082,훼손
TEST_083,훼손
TEST_084,오염
TEST_085,오염
TEST_086,"창틀,문틀수정"
TEST_087,터짐
TEST_088,"창틀,문틀수정"
TEST_089,오염
TEST_090,오염
TEST_091,꼬임
TEST_092,꼬임
TEST_093,오염
TEST_094,훼손
TEST_095,오염
TEST_096,훼손
TEST_097,오염
TEST_098,훼손
