id,label
TEST_000,훼손
TEST_001,오염
TEST_002,훼손
TEST_003,몰딩수정
TEST_004,오염
TEST_005,걸레받이수정
TEST_006,오염
TEST_007,터짐
TEST_008,오염
TEST_009,오타공
TEST_010,몰딩수정
TEST_011,오타공
TEST_012,걸레받이수정
TEST_013,오염
TEST_014,훼손
TEST_015,훼손
TEST_016,오타공
TEST_017,걸레받이수정
TEST_018,훼손
TEST_019,오염
TEST_020,"창틀,문틀수정"
TEST_021,훼손
TEST_022,꼬임
TEST_023,터짐
TEST_024,"창틀,문틀수정"
TEST_025,훼손
TEST_026,오염
TEST_027,들뜸
TEST_028,걸레받이수정
TEST_029,꼬임
TEST_030,오염
TEST_031,훼손
TEST_032,훼손
TEST_033,오염
TEST_034,오타공
TEST_035,훼손
TEST_036,꼬임
TEST_037,꼬임
TEST_038,오타공
TEST_039,몰딩수정
TEST_040,오염
TEST_041,면불량
TEST_042,터짐
TEST_043,오염
TEST_044,오염
TEST_045,훼손
TEST_046,훼손
TEST_047,훼손
TEST_048,오염
TEST_049,오염
TEST_050,훼손
TEST_051,오염
TEST_052,훼손
TEST_053,훼손
TEST_054,훼손
TEST_055,훼손
TEST_056,훼손
TEST_057,오타공
TEST_058,오염
TEST_059,오염
TEST_060,오타공
TEST_061,몰딩수정
TEST_062,훼손
TEST_063,오염
TEST_064,훼손
TEST_065,꼬임
TEST_066,석고수정
TEST_067,울음
TEST_068,훼손
TEST_069,석고수정
TEST_070,오타공
TEST_071,오염
TEST_072,오염
TEST_073,터짐
TEST_074,훼손
TEST_075,훼손
TEST_076,훼손
TEST_077,오염
TEST_078,훼손
TEST_079,오염
TEST_080,면불량
TEST_081,오타공
TEST_082,오염
TEST_083,오타공
TEST_084,걸레받이수정
TEST_085,훼손
TEST_086,꼬임
TEST_087,석고수정
TEST_088,석고수정
TEST_089,면불량
TEST_090,오염
TEST_091,훼손
TEST_092,훼손
TEST_093,오염
TEST_094,훼손
TEST_095,훼손
TEST_096,훼손
TEST_097,훼손
TEST_098,오타공
TEST_099,오염
